t,x,y,z
0.005,4.9,4.4,0.099755
0.065,4.9,4.4,0.077705
0.125,4.902299,4.401863,0.062894
0.185,4.90585,4.405032,0.061454999999999996
0.25,4.905451,4.404662999999999,0.06149500000000001
0.31,4.898737000000001,4.397842,0.061403
0.37,4.894188,4.393367,0.061390999999999994
0.435,4.893866,4.393191000000001,0.061415
0.5,4.894186,4.393314,0.061416
0.56,4.894328,4.393257,0.061415
0.62,4.894444,4.393218,0.061412
0.68,4.894644,4.393178,0.061413
0.74,4.894896,4.393136,0.061409000000000005
0.805,4.89522,4.393082,0.061415
0.865,4.895404,4.392962000000001,0.061413
0.93,4.8956610000000005,4.392864,0.061415
0.995,4.895968,4.392737,0.061411
1.06,4.896047,4.392626,0.061409000000000005
1.12,4.896134,4.392526,0.061409000000000005
1.185,4.896178,4.3924330000000005,0.061404999999999994
1.245,4.896214,4.392328,0.061409000000000005
1.31,4.896344999999999,4.392205000000001,0.061411
1.37,4.896416,4.392132,0.061413999999999996
1.435,4.896415,4.392048,0.061409000000000005
1.495,4.899364,4.3896,0.061385
1.56,4.908652,4.383325,0.061399
1.62,4.917754,4.377185,0.061408000000000004
1.685,4.925737000000001,4.3718010000000005,0.0614
1.745,4.933108,4.366829,0.061390999999999994
1.81,4.942318,4.360598,0.061398
1.87,4.950533,4.355045,0.061398
1.935,4.958657,4.349552,0.061396000000000006
1.995,4.966532,4.3442419999999995,0.061392999999999996
2.055,4.974831,4.338655,0.061396000000000006
2.12,4.983403,4.332863,0.061399
2.18,4.991069,4.327682,0.061394000000000004
2.245,4.999748,4.32184,0.061394000000000004
2.305,5.007844,4.3163730000000005,0.061398
2.37,5.016406,4.310578,0.0614
2.435,5.024839,4.304880000000001,0.061395000000000005
2.5,5.033514,4.298988,0.061397
2.565,5.0421879999999994,4.293118,0.061395000000000005
2.63,5.050699,4.287365,0.061397
2.69,5.058564,4.282051,0.061396000000000006
2.755,5.067236,4.276186,0.061396000000000006
2.82,5.075837,4.270398999999999,0.0614
2.885,5.084375,4.264638,0.061396000000000006
2.95,5.093053,4.258813,0.061397
3.015,5.101655,4.2530209999999995,0.061390999999999994
3.075,5.1095489999999995,4.247669999999999,0.061396000000000006
3.14,5.115711,4.243654,0.061402
3.205,5.117255,4.242718,0.061396000000000006
3.27,5.116707,4.2431589999999995,0.061394000000000004
3.335,5.116046,4.243566,0.061399
3.4,5.115941,4.243632,0.061407
3.46,5.11608,4.243739,0.061404999999999994
3.525,5.11607,4.24386,0.061403
3.585,5.116144,4.243977,0.061407
3.65,5.116345,4.244086,0.061413
3.715,5.116445,4.244193,0.061407
3.78,5.116499,4.244287,0.061409000000000005
3.845,5.116619,4.244336,0.061409000000000005
3.91,5.116631,4.244445,0.061405999999999995
3.97,5.116658,4.244508000000001,0.061407
4.035,5.116778,4.244648000000001,0.061411
4.1,5.1167419999999995,4.244721,0.061404999999999994
4.165,5.116793,4.244864,0.061413999999999996
4.23,5.120147,4.248194,0.06138300000000001
4.295,5.128761,4.255945,0.061397
4.36,5.137504,4.263793,0.061398
4.425,5.144612,4.270185,0.0614
4.485,5.151196,4.27612,0.06139
4.55,5.159406,4.283517,0.061397
4.61,5.166741,4.290115,0.061402
4.675,5.1741,4.296751,0.061396000000000006
4.74,5.181736,4.303635,0.061394000000000004
4.805,5.189679,4.31081,0.061401
4.87,5.197376,4.317776,0.0614
4.935,5.204862,4.324514,0.061397
5.0,5.2126209999999995,4.331516000000001,0.061398
5.065,5.220416999999999,4.33855,0.061397
5.13,5.228105,4.345467,0.061402
5.195,5.2357569999999996,4.3523559999999994,0.061392999999999996
5.255,5.242885,4.3587739999999995,0.061399
5.32,5.250659,4.365768,0.061399
5.38,5.257724,4.37213,0.061398
5.445,5.265401,4.379044,0.061395000000000005
5.505,5.272578,4.385504,0.0614
5.57,5.280245,4.392426,0.0614
5.635,5.2879510000000005,4.39935,0.061399
5.7,5.295719999999999,4.406349,0.061401
5.765,5.3033470000000005,4.413212000000001,0.061398
5.83,5.311088,4.420183,0.061397
5.895,5.318869,4.427187,0.061397
5.96,5.326556,4.434113,0.061395000000000005
6.025,5.334237,4.441032,0.061396000000000006
6.09,5.34192,4.447958,0.0614
6.15,5.348982,4.454293,0.061398
6.215,5.356767,4.461301000000001,0.061398
6.275,5.363936,4.46778,0.061397
6.34,5.371563,4.474621,0.061399
6.405,5.379222,4.481503,0.061398
6.47,5.387033,4.4885209999999995,0.061398
6.535,5.394762,4.495462,0.061403
6.6,5.4024,4.502321,0.061392999999999996
6.665,5.410145,4.5092870000000005,0.061396000000000006
